AD_Org_ID[Name],C_Country_ID[Name],C_Region_ID[Name],Name,IsActive,Postal,AreaCode,Locode,Coordinates
,,,ANU,Y,200,,,
,,,Australian National University,Y,200,,,
,,,HMAS CRESWELL,Y,2540,,,
,,,JERVIS BAY,Y,2540,,,
,,,WRECK BAY,Y,2540,,,
,,,BARTON,Y,2600,,,
,,,CANBERRA,Y,2600,,,
,,,CAPITAL HILL,Y,2600,,,
,,,DEAKIN,Y,2600,,,
,,,DEAKIN WEST,Y,2600,,,
,,,DUNTROON,Y,2600,,,
,,,FAIRBAIRN RAAF,Y,2600,,,
,,,HARMAN,Y,2600,,,
,,,HMAS HARMAN,Y,2600,,,
,,,PARKES,Y,2600,,,
,,,PARLIAMENT HOUSE,Y,2600,,,
,,,RUSSELL,Y,2600,,,
,,,RUSSELL HILL,Y,2600,,,
,,,YARRALUMLA,Y,2600,,,
,,,ACTON,Y,2601,,,
,,,BLACK MOUNTAIN,Y,2601,,,
,,,CANBERRA,Y,2601,,,
,,,CITY,Y,2601,,,
,,,AINSLIE,Y,2602,,,
,,,DICKSON,Y,2602,,,
,,,DOWNER,Y,2602,,,
,,,HACKETT,Y,2602,,,
,,,LYNEHAM,Y,2602,,,
,,,O’CONNOR,Y,2602,,,
,,,O'CONNOR,Y,2602,,,
,,,WATSON,Y,2602,,,
,,,FORREST,Y,2603,,,
,,,GRIFFITH,Y,2603,,,
,,,MANUKA,Y,2603,,,
,,,RED HILL,Y,2603,,,
,,,CAUSEWAY,Y,2604,,,
,,,KINGSTON,Y,2604,,,
,,,NARRABUNDAH,Y,2604,,,
,,,CURTIN,Y,2605,,,
,,,GARRAN,Y,2605,,,
,,,HUGHES,Y,2605,,,
,,,CHIFLEY,Y,2606,,,
,,,LYONS,Y,2606,,,
,,,O’MALLEY,Y,2606,,,
,,,O'MALLEY,Y,2606,,,
,,,PHILLIP,Y,2606,,,
,,,PHILLIP DC,Y,2606,,,
,,,SWINGER HILL,Y,2606,,,
,,,WODEN,Y,2606,,,
,,,FARRER,Y,2607,,,
,,,ISAACS,Y,2607,,,
,,,MAWSON,Y,2607,,,
,,,PEARCE,Y,2607,,,
,,,TORRENS,Y,2607,,,
,,,CIVIC SQUARE,Y,2608,,,
,,,CANBERRA AIRPORT,Y,2609,,,
,,,CANBERRA INTERNATIONAL AIRPORT,Y,2609,,,
,,,FYSHWICK,Y,2609,,,
,,,MAJURA,Y,2609,,,
,,,PIALLIGO,Y,2609,,,
,,,SYMONSTON,Y,2609,,,
,,,CANBERRA BC,Y,2610,,,
,,,CANBERRA MC,Y,2610,,,
,,,CHAPMAN,Y,2611,,,
,,,COOMBS,Y,2611,,,
,,,COREE,Y,2611,,,
,,,DENMAN PROSPECT,Y,2611,,,
,,,DUFFY,Y,2611,,,
,,,FISHER,Y,2611,,,
,,,HOLDER,Y,2611,,,
,,,MOUNT STROMLO,Y,2611,,,
,,,PIERCES CREEK,Y,2611,,,
,,,RIVETT,Y,2611,,,
,,,STIRLING,Y,2611,,,
,,,STROMLO,Y,2611,,,
,,,URIARRA FOREST,Y,2611,,,
,,,URIARRA VILLAGE,Y,2611,,,
,,,WARAMANGA,Y,2611,,,
,,,WESTON,Y,2611,,,
,,,WESTON CREEK,Y,2611,,,
,,,WHITLAM,Y,2611,,,
,,,WRIGHT,Y,2611,,,
,,,BRADDON,Y,2612,,,
,,,CAMPBELL,Y,2612,,,
,,,REID,Y,2612,,,
,,,TURNER,Y,2612,,,
,,,ARANDA,Y,2614,,,
,,,COOK,Y,2614,,,
,,,HAWKER,Y,2614,,,
,,,JAMISON CENTRE,Y,2614,,,
,,,MACQUARIE,Y,2614,,,
,,,PAGE,Y,2614,,,
,,,SCULLIN,Y,2614,,,
,,,WEETANGERA,Y,2614,,,
,,,CHARNWOOD,Y,2615,,,
,,,DUNLOP,Y,2615,,,
,,,FLOREY,Y,2615,,,
,,,FLYNN,Y,2615,,,
,,,FRASER,Y,2615,,,
,,,HIGGINS,Y,2615,,,
,,,HOLT,Y,2615,,,
,,,KIPPAX,Y,2615,,,
,,,KIPPAX CENTRE,Y,2615,,,
,,,LATHAM,Y,2615,,,
,,,MACGREGOR,Y,2615,,,
,,,MACNAMARA,Y,2615,,,
,,,MELBA,Y,2615,,,
,,,SPENCE,Y,2615,,,
,,,STRATHNAIRN,Y,2615,,,
,,,BELCONNEN,Y,2616,,,
,,,BELCONNEN,Y,2617,,,
,,,BELCONNEN DC,Y,2617,,,
,,,BRUCE,Y,2617,,,
,,,EVATT,Y,2617,,,
,,,GIRALANG,Y,2617,,,
,,,KALEEN,Y,2617,,,
,,,LAWSON,Y,2617,,,
,,,MCKELLAR,Y,2617,,,
,,,UNIVERSITY OF CANBERRA,Y,2617,,,
,,,HALL,Y,2618,,,
,,,BEARD,Y,2620,,,
,,,HUME,Y,2620,,,
,,,KOWEN,Y,2620,,,
,,,KOWEN FOREST,Y,2620,,,
,,,OAKS ESTATE,Y,2620,,,
,,,PADDYS RIVER,Y,2620,,,
,,,THARWA,Y,2620,,,
,,,TOP NAAS,Y,2620,,,
,,,WILLIAMSDALE,Y,2620,,,
,,,GREENWAY,Y,2900,,,
,,,TUGGERANONG,Y,2900,,,
,,,TUGGERANONG DC,Y,2901,,,
,,,KAMBAH,Y,2902,,,
,,,KAMBAH VILLAGE,Y,2902,,,
,,,ERINDALE CENTRE,Y,2903,,,
,,,OXLEY,Y,2903,,,
,,,WANNIASSA,Y,2903,,,
,,,FADDEN,Y,2904,,,
,,,GOWRIE,Y,2904,,,
,,,MACARTHUR,Y,2904,,,
,,,MONASH,Y,2904,,,
,,,BONYTHON,Y,2905,,,
,,,CALWELL,Y,2905,,,
,,,CHISHOLM,Y,2905,,,
,,,GILMORE,Y,2905,,,
,,,ISABELLA PLAINS,Y,2905,,,
