AD_Org_ID[Name],C_Country_ID[Name],C_Region_ID[Name],Name,IsActive,Postal,AreaCode,Locode,Coordinates
,,,DARWIN,Y,800,,,
,,,DARWIN CITY,Y,800,,,
,,,DARWIN,Y,801,,,
,,,WAGAIT BEACH,Y,803,,,
,,,PARAP,Y,804,,,
,,,ALAWA,Y,810,,,
,,,BRINKIN,Y,810,,,
,,,CASUARINA,Y,810,,,
,,,COCONUT GROVE,Y,810,,,
,,,JINGILI,Y,810,,,
,,,LEE POINT,Y,810,,,
,,,LYONS,Y,810,,,
,,,MILLNER,Y,810,,,
,,,MOIL,Y,810,,,
,,,MUIRHEAD,Y,810,,,
,,,NAKARA,Y,810,,,
,,,NIGHTCLIFF,Y,810,,,
,,,RAPID CREEK,Y,810,,,
,,,TIWI,Y,810,,,
,,,WAGAMAN,Y,810,,,
,,,WANGURI,Y,810,,,
,,,CASUARINA,Y,811,,,
,,,ANULA,Y,812,,,
,,,BUFFALO CREEK,Y,812,,,
,,,HOLMES,Y,812,,,
,,,KARAMA,Y,812,,,
,,,LEANYER,Y,812,,,
,,,MALAK,Y,812,,,
,,,MARRARA,Y,812,,,
,,,NORTHLAKES,Y,812,,,
,,,SANDERSON,Y,812,,,
,,,WOODLEIGH GARDENS,Y,812,,,
,,,WULAGI,Y,812,,,
,,,KARAMA,Y,813,,,
,,,SANDERSON,Y,813,,,
,,,NIGHTCLIFF,Y,814,,,
,,,CHARLES DARWIN UNIVERSITY,Y,815,,,
,,,BAGOT,Y,820,,,
,,,BAYVIEW,Y,820,,,
,,,CHARLES DARWIN,Y,820,,,
,,,COONAWARRA,Y,820,,,
,,,CULLEN BAY,Y,820,,,
,,,DARWIN DC,Y,820,,,
,,,DARWIN INTERNATIONAL AIRPORT,Y,820,,,
,,,DARWIN MC,Y,820,,,
,,,EAST POINT,Y,820,,,
,,,EATON,Y,820,,,
,,,FANNIE BAY,Y,820,,,
,,,LARRAKEYAH,Y,820,,,
,,,LUDMILLA,Y,820,,,
,,,PARAP,Y,820,,,
,,,RAAF BASE DARWIN,Y,820,,,
,,,STUART PARK,Y,820,,,
,,,THE GARDENS,Y,820,,,
,,,THE NARROWS,Y,820,,,
,,,WINNELLIE,Y,820,,,
,,,WOOLNER,Y,820,,,
,,,WINNELLIE,Y,821,,,
,,,ACACIA HILLS,Y,822,,,
,,,ANGURUGU,Y,822,,,
,,,ANINDILYAKWA,Y,822,,,
,,,ANNIE RIVER,Y,822,,,
,,,BATHURST ISLAND,Y,822,,,
,,,BEES CREEK,Y,822,,,
,,,BELYUEN,Y,822,,,
,,,BLACK JUNGLE,Y,822,,,
,,,BLACKMORE,Y,822,,,
,,,BORDER STORE,Y,822,,,
,,,BURRUNDIE,Y,822,,,
,,,BYNOE,Y,822,,,
,,,BYNOE HARBOUR,Y,822,,,
,,,CAMP CREEK,Y,822,,,
,,,CHANNEL ISLAND,Y,822,,,
,,,CHARLES DARWIN,Y,822,,,
,,,CHARLOTTE,Y,822,,,
,,,CLARAVALE,Y,822,,,
,,,COBOURG,Y,822,,,
,,,COLLETT CREEK,Y,822,,,
,,,COOMALIE CREEK,Y,822,,,
,,,COX PENINSULA,Y,822,,,
,,,CROKER ISLAND,Y,822,,,
,,,DALY,Y,822,,,
,,,DALY RIVER,Y,822,,,
,,,DARWIN MC,Y,822,,,
,,,DARWIN RIVER DAM,Y,822,,,
,,,DELISSAVILLE,Y,822,,,
,,,DOUGLAS-DALY,Y,822,,,
,,,EAST ARM,Y,822,,,
,,,EAST ARNHEM,Y,822,,,
,,,ELRUNDIE,Y,822,,,
,,,EVA VALLEY,Y,822,,,
,,,FINNISS VALLEY,Y,822,,,
,,,FLEMING,Y,822,,,
,,,FLY CREEK,Y,822,,,
,,,FREDS PASS,Y,822,,,
,,,GALIWINKU,Y,822,,,
,,,GLYDE POINT,Y,822,,,
,,,GOULBOURN ISLAND,Y,822,,,
,,,GOULBURN ISLAND,Y,822,,,
,,,GUNBALANYA,Y,822,,,
,,,GUNN POINT,Y,822,,,
,,,HAYES CREEK,Y,822,,,
,,,HIDDEN VALLEY,Y,822,,,
,,,HOTHAM,Y,822,,,
,,,HUGHES,Y,822,,,
,,,KAKADU,Y,822,,,
,,,KOOLPINYAH,Y,822,,,
,,,LAKE BENNETT,Y,822,,,
,,,LAMBELLS LAGOON,Y,822,,,
,,,LITCHFIELD PARK,Y,822,,,
,,,LIVINGSTONE,Y,822,,,
,,,LLOYD CREEK,Y,822,,,
,,,MANDORAH,Y,822,,,
,,,MANINGRIDA,Y,822,,,
,,,MAPURU,Y,822,,,
,,,MARANUNGA,Y,822,,,
,,,MARGARET RIVER,Y,822,,,
,,,MARRAKAI,Y,822,,,
,,,MCMINNS LAGOON,Y,822,,,
,,,MICKETT CREEK,Y,822,,,
,,,MIDDLE POINT,Y,822,,,
,,,MILIKAPITI,Y,822,,,
,,,MILINGIMBI,Y,822,,,
,,,MILLWOOD,Y,822,,,
,,,MILYAKBURRA,Y,822,,,
,,,MINJILANG,Y,822,,,
,,,MOUNT BUNDEY,Y,822,,,
,,,MURRUMUJUK,Y,822,,,
,,,NAUIYU,Y,822,,,
,,,NEMARLUK,Y,822,,,
,,,NGANMARRIYANGA,Y,822,,,
,,,NGUIU,Y,822,,,
,,,NUMBULWAR,Y,822,,,
,,,NUMBURINDI,Y,822,,,
,,,OENPELLI,Y,822,,,
,,,PEPPIMENARTI,Y,822,,,
,,,PIRLANGIMPI,Y,822,,,
,,,POINT STEPHENS,Y,822,,,
,,,POINT STUART,Y,822,,,
,,,PULARUMPI,Y,822,,,
,,,PULUMPA,Y,822,,,
,,,RAKULA,Y,822,,,
,,,RAMINGINING,Y,822,,,
,,,ROBIN FALLS,Y,822,,,
,,,RUM JUNGLE,Y,822,,,
,,,SANDPALMS ROADHOUSE,Y,822,,,
,,,SOUTHPORT,Y,822,,,
,,,STAPLETON,Y,822,,,
,,,THAMARRURR,Y,822,,,
,,,TIPPERARY,Y,822,,,
,,,TIVENDALE,Y,822,,,
,,,TIWI ISLANDS,Y,822,,,
,,,TORTILLA FLATS,Y,822,,,
,,,TUMBLING WATERS,Y,822,,,
,,,UMBAKUMBA,Y,822,,,
,,,VERNON ISLANDS,Y,822,,,
,,,VIRGINIA,Y,822,,,
,,,WADEYE,Y,822,,,
,,,WAGAIT BEACH,Y,822,,,
,,,WAK WAK,Y,822,,,
,,,WARRUWI,Y,822,,,
,,,WEDDELL,Y,822,,,
,,,WEST ARNHEM,Y,822,,,
,,,WICKHAM,Y,822,,,
,,,WINNELLIE,Y,822,,,
,,,WISHART,Y,822,,,
,,,WOOLANING,Y,822,,,
,,,WURRUMIYANGA,Y,822,,,
,,,BERRIMAH,Y,828,,,
,,,KNUCKEY LAGOON,Y,828,,,
