AD_Org_ID[Name],C_Country_ID[Name],C_Region_ID[Name],Name,IsActive,Postal,AreaCode,Locode,Coordinates
,,,MUNGINDI,Y,2406,,,
,,,BRISBANE,Y,4000,,,
,,,BRISBANE ADELAIDE STREET,Y,4000,,,
,,,BRISBANE CITY,Y,4000,,,
,,,BRISBANE CITY DC,Y,4000,,,
,,,BRISBANE GPO,Y,4000,,,
,,,BRISBANE-CITY,Y,4000,,,
,,,PARLIAMENT HOUSE,Y,4000,,,
,,,PETRIE TERRACE,Y,4000,,,
,,,SPRING HILL,Y,4000,,,
,,,BRISBANE,Y,4001,,,
,,,CENTRAL PLAZA,Y,4001,,,
,,,RIVERSIDE CENTRE,Y,4001,,,
,,,WATERFRONT PLACE,Y,4001,,,
,,,BRISBANE ALBERT STREET BC,Y,4002,,,
,,,CITY EAST,Y,4002,,,
,,,WINTERGARDEN,Y,4002,,,
,,,GEORGE STREET,Y,4003,,,
,,,SPRING HILL,Y,4004,,,
,,,NEW FARM,Y,4005,,,
,,,TENERIFFE,Y,4005,,,
,,,BOWEN BRIDGE,Y,4006,,,
,,,BOWEN HILLS,Y,4006,,,
,,,BRISBANE EXHIBITION,Y,4006,,,
,,,FORTITUDE VALLEY,Y,4006,,,
,,,FORTITUDE VALLEY BC,Y,4006,,,
,,,HERSTON,Y,4006,,,
,,,MAYNE,Y,4006,,,
,,,NEWSTEAD,Y,4006,,,
,,,ASCOT,Y,4007,,,
,,,BRISBANE AIRPORT,Y,4007,,,
,,,DOOMBEN,Y,4007,,,
,,,HAMILTON,Y,4007,,,
,,,HAMILTON CENTRAL,Y,4007,,,
,,,WHINSTANES,Y,4007,,,
,,,BRISBANE AIRPORT,Y,4008,,,
,,,BULWER ISLAND,Y,4008,,,
,,,MEEANDAH,Y,4008,,,
,,,MYRTLETOWN,Y,4008,,,
,,,PINKENBA,Y,4008,,,
,,,EAGLE FARM,Y,4009,,,
,,,EAGLE FARM BC,Y,4009,,,
,,,ALBION,Y,4010,,,
,,,ALBION BC,Y,4010,,,
,,,ALBION DC,Y,4010,,,
,,,BREAKFAST CREEK,Y,4010,,,
,,,CLAYFIELD,Y,4011,,,
,,,EAGLE JUNCTION,Y,4011,,,
,,,HENDRA,Y,4011,,,
,,,NUNDAH,Y,4012,,,
,,,TOOMBUL,Y,4012,,,
,,,WAVELL HEIGHTS,Y,4012,,,
,,,WAVELL HEIGHTS NORTH,Y,4012,,,
,,,NORTHGATE,Y,4013,,,
,,,NORTHGATE MC,Y,4013,,,
,,,BANYO,Y,4014,,,
,,,NUDGEE,Y,4014,,,
,,,NUDGEE BEACH,Y,4014,,,
,,,VIRGINIA,Y,4014,,,
,,,VIRGINIA BC,Y,4014,,,
,,,VIRGINIA DC,Y,4014,,,
,,,BRACKEN RIDGE,Y,4017,,,
,,,BRIGHTON,Y,4017,,,
,,,BRIGHTON EVENTIDE,Y,4017,,,
,,,BRIGHTON NATHAN STREET,Y,4017,,,
,,,DEAGON,Y,4017,,,
,,,NASHVILLE,Y,4017,,,
,,,SANDGATE,Y,4017,,,
,,,SANDGATE DC,Y,4017,,,
,,,SHORNCLIFFE,Y,4017,,,
,,,FITZGIBBON,Y,4018,,,
,,,TAIGUM,Y,4018,,,
,,,CLONTARF,Y,4019,,,
,,,CLONTARF BEACH,Y,4019,,,
,,,CLONTARF DC,Y,4019,,,
,,,HUMPYBONG,Y,4019,,,
,,,MARGATE,Y,4019,,,
,,,MARGATE BEACH,Y,4019,,,
,,,SCOTTS POINT,Y,4019,,,
,,,WOODY POINT,Y,4019,,,
,,,NEWPORT,Y,4020,,,
,,,REDCLIFFE,Y,4020,,,
,,,REDCLIFFE NORTH,Y,4020,,,
,,,SCARBOROUGH,Y,4020,,,
,,,KIPPA-RING,Y,4021,,,
,,,ROTHWELL,Y,4022,,,
,,,BULWER,Y,4025,,,
,,,CAPE MORETON,Y,4025,,,
,,,COWAN COWAN,Y,4025,,,
,,,KOORINGAL,Y,4025,,,
,,,MORETON ISLAND,Y,4025,,,
,,,TANGALOOMA,Y,4025,,,
,,,ROYAL BRISBANE HOSPITAL,Y,4029,,,
,,,EILDON HILL,Y,4030,,,
,,,KALINGA,Y,4030,,,
,,,LUTWYCHE,Y,4030,,,
,,,WINDSOR,Y,4030,,,
,,,WOOLOOWIN,Y,4030,,,
,,,GLEN KEDRON,Y,4031,,,
,,,GORDON PARK,Y,4031,,,
,,,KEDRON,Y,4031,,,
,,,CHERMSIDE,Y,4032,,,
