AD_Org_ID[Name],C_Country_ID[Name],C_Region_ID[Name],Name,IsActive,Postal,AreaCode,Locode,Coordinates
,,,AMATA,Y,872,,,
,,,AYERS RANGE SOUTH,Y,872,,,
,,,DE ROSE HILL,Y,872,,,
,,,ERNABELLA,Y,872,,,
,,,ERNABELLA (PUKATJA),Y,872,,,
,,,FREGON,Y,872,,,
,,,INDULKANA,Y,872,,,
,,,INDULKANA (IWANTJA),Y,872,,,
,,,IWANTJA,Y,872,,,
,,,KALKA,Y,872,,,
,,,KALTJITI,Y,872,,,
,,,KANPI,Y,872,,,
,,,LAMBINA,Y,872,,,
,,,MIMILI,Y,872,,,
,,,MURPUTJA,Y,872,,,
,,,NYAPARI,Y,872,,,
,,,PIPALYATJARA,Y,872,,,
,,,PUKATJA,Y,872,,,
,,,TIEYON,Y,872,,,
,,,UMUWA,Y,872,,,
,,,WATARRU,Y,872,,,
,,,WATINUMA,Y,872,,,
,,,YUNYARINYI,Y,872,,,
,,,ADELAIDE,Y,5000,,,
,,,ADELAIDE BC,Y,5000,,,
,,,CITY WEST CAMPUS,Y,5000,,,
,,,HALIFAX STREET,Y,5000,,,
,,,HUTT STREET,Y,5000,,,
,,,PARLIAMENT HOUSE,Y,5000,,,
,,,RUNDLE MALL,Y,5000,,,
,,,STATION ARCADE,Y,5000,,,
,,,STURT STREET,Y,5000,,,
,,,ADELAIDE,Y,5001,,,
,,,ADELAIDE UNIVERSITY,Y,5005,,,
,,,THE UNIVERSITY OF ADELAIDE,Y,5005,,,
,,,UNIVERSITY OF ADELAIDE,Y,5005,,,
,,,NORTH ADELAIDE,Y,5006,,,
,,,NORTH ADELAIDE MELBOURNE ST,Y,5006,,,
,,,BOWDEN,Y,5007,,,
,,,BROMPTON,Y,5007,,,
,,,HINDMARSH,Y,5007,,,
,,,WELLAND,Y,5007,,,
,,,WEST HINDMARSH,Y,5007,,,
,,,CROYDON,Y,5008,,,
,,,CROYDON PARK,Y,5008,,,
,,,CROYDON PARK SOUTH,Y,5008,,,
,,,DEVON PARK,Y,5008,,,
,,,DUDLEY PARK,Y,5008,,,
,,,RENOWN PARK,Y,5008,,,
,,,RIDLEYTON,Y,5008,,,
,,,WEST CROYDON,Y,5008,,,
,,,ALLENBY GARDENS,Y,5009,,,
,,,BEVERLEY,Y,5009,,,
,,,KILKENNY,Y,5009,,,
,,,ANGLE PARK,Y,5010,,,
,,,FERRYDEN PARK,Y,5010,,,
,,,REGENCY PARK,Y,5010,,,
,,,REGENCY PARK BC,Y,5010,,,
,,,ST CLAIR,Y,5011,,,
,,,ST CLAIRE,Y,5011,,,
,,,WOODVILLE,Y,5011,,,
,,,WOODVILLE PARK,Y,5011,,,
,,,WOODVILLE SOUTH,Y,5011,,,
,,,WOODVILLE WEST,Y,5011,,,
,,,ATHOL PARK,Y,5012,,,
,,,MANSFIELD PARK,Y,5012,,,
,,,WOODVILLE GARDENS,Y,5012,,,
,,,WOODVILLE NORTH,Y,5012,,,
,,,GILLMAN,Y,5013,,,
,,,OTTOWAY,Y,5013,,,
,,,PENNINGTON,Y,5013,,,
,,,ROSEWATER,Y,5013,,,
,,,ROSEWATER EAST,Y,5013,,,
,,,WINGFIELD,Y,5013,,,
,,,ALBERT PARK,Y,5014,,,
,,,ALBERTON,Y,5014,,,
,,,CHELTENHAM,Y,5014,,,
,,,HENDON,Y,5014,,,
,,,QUEENSTOWN,Y,5014,,,
,,,ROYAL PARK,Y,5014,,,
,,,BIRKENHEAD,Y,5015,,,
,,,ETHELTON,Y,5015,,,
,,,GARDEN ISLAND,Y,5015,,,
,,,GLANVILLE,Y,5015,,,
,,,NEW PORT,Y,5015,,,
,,,PORT ADELAIDE,Y,5015,,,
,,,PORT ADELAIDE BC,Y,5015,,,
,,,PORT ADELAIDE DC,Y,5015,,,
,,,TORRENS ISLAND,Y,5015,,,
,,,LARGS BAY,Y,5016,,,
,,,LARGS NORTH,Y,5016,,,
,,,PETERHEAD,Y,5016,,,
,,,OSBORNE,Y,5017,,,
,,,TAPEROO,Y,5017,,,
,,,NORTH HAVEN,Y,5018,,,
,,,OUTER HARBOR,Y,5018,,,
,,,EXETER,Y,5019,,,
,,,SEMAPHORE,Y,5019,,,
,,,SEMAPHORE PARK,Y,5019,,,
,,,SEMAPHORE SOUTH,Y,5019,,,
,,,WEST LAKES SHORE,Y,5020,,,
,,,WEST LAKES,Y,5021,,,
,,,GRANGE,Y,5022,,,
,,,HENLEY BEACH,Y,5022,,,
,,,HENLEY BEACH SOUTH,Y,5022,,,
,,,KIRKCALDY,Y,5022,,,
,,,TENNYSON,Y,5022,,,
,,,FINDON,Y,5023,,,
,,,SEATON,Y,5023,,,
,,,SEATON NORTH,Y,5023,,,
,,,FULHAM,Y,5024,,,
,,,FULHAM GARDENS,Y,5024,,,
,,,WEST BEACH,Y,5024,,,
,,,FLINDERS PARK,Y,5025,,,
,,,KIDMAN PARK,Y,5025,,,
,,,MILE END,Y,5031,,,
,,,MILE END SOUTH,Y,5031,,,
,,,THEBARTON,Y,5031,,,
,,,TORRENSVILLE,Y,5031,,,
,,,TORRENSVILLE PLAZA,Y,5031,,,
,,,BROOKLYN PARK,Y,5032,,,
,,,LOCKLEYS,Y,5032,,,
,,,UNDERDALE,Y,5032,,,
,,,COWANDILLA,Y,5033,,,
,,,HILTON,Y,5033,,,
,,,HILTON PLAZA,Y,5033,,,
,,,MARLESTON,Y,5033,,,
,,,MARLESTON DC,Y,5033,,,
,,,RICHMOND,Y,5033,,,
,,,WEST RICHMOND,Y,5033,,,
,,,CLARENCE PARK,Y,5034,,,
,,,GOODWOOD,Y,5034,,,
,,,KINGS PARK,Y,5034,,,
,,,MILLSWOOD,Y,5034,,,
,,,WAYVILLE,Y,5034,,,
,,,ASHFORD,Y,5035,,,
,,,BLACK FOREST,Y,5035,,,
,,,EVERARD PARK,Y,5035,,,
,,,FORESTVILLE,Y,5035,,,
,,,KESWICK,Y,5035,,,
,,,KESWICK TERMINAL,Y,5035,,,
,,,GLANDORE,Y,5037,,,
,,,KURRALTA PARK,Y,5037,,,
,,,NETLEY,Y,5037,,,
,,,NORTH PLYMPTON,Y,5037,,,
,,,CAMDEN PARK,Y,5038,,,
,,,PLYMPTON,Y,5038,,,
,,,PLYMPTON PARK,Y,5038,,,
,,,SOUTH PLYMPTON,Y,5038,,,
,,,CLARENCE GARDENS,Y,5039,,,
,,,EDWARDSTOWN,Y,5039,,,
,,,MELROSE PARK,Y,5039,,,
,,,MELROSE PARK DC,Y,5039,,,
,,,NOVAR GARDENS,Y,5040,,,
,,,COLONEL LIGHT GARDENS,Y,5041,,,
,,,CUMBERLAND PARK,Y,5041,,,
,,,DAW PARK,Y,5041,,,
,,,PANORAMA,Y,5041,,,
,,,WESTBOURNE PARK,Y,5041,,,
,,,BEDFORD PARK,Y,5042,,,
,,,CLOVELLY PARK,Y,5042,,,
,,,FLINDERS UNIVERSITY,Y,5042,,,
,,,PASADENA,Y,5042,,,
,,,ST MARYS,Y,5042,,,
,,,TONSLEY,Y,5042,,,
,,,ASCOT PARK,Y,5043,,,
,,,MARION,Y,5043,,,
,,,MITCHELL PARK,Y,5043,,,
,,,MORPHETTVILLE,Y,5043,,,
,,,PARK HOLME,Y,5043,,,
,,,GLENGOWRIE,Y,5044,,,
,,,SOMERTON PARK,Y,5044,,,
,,,GLENELG,Y,5045,,,
,,,GLENELG EAST,Y,5045,,,
,,,GLENELG JETTY ROAD,Y,5045,,,
,,,GLENELG NORTH,Y,5045,,,
,,,GLENELG SOUTH,Y,5045,,,
,,,OAKLANDS PARK,Y,5046,,,
,,,WARRADALE,Y,5046,,,
,,,WARRADALE NORTH,Y,5046,,,
,,,DARLINGTON,Y,5047,,,
,,,SEACOMBE GARDENS,Y,5047,,,
,,,SEACOMBE HEIGHTS,Y,5047,,,
,,,STURT,Y,5047,,,
,,,BRIGHTON,Y,5048,,,
,,,DOVER GARDENS,Y,5048,,,
,,,HOVE,Y,5048,,,
,,,NORTH BRIGHTON,Y,5048,,,
,,,SOUTH BRIGHTON,Y,5048,,,
,,,KINGSTON PARK,Y,5049,,,
,,,MARINO,Y,5049,,,
,,,SEACLIFF,Y,5049,,,
,,,SEACLIFF PARK,Y,5049,,,
,,,SEAVIEW DOWNS,Y,5049,,,
,,,BELLEVUE HEIGHTS,Y,5050,,,
,,,EDEN HILLS,Y,5050,,,
,,,BLACKWOOD,Y,5051,,,
,,,COROMANDEL VALLEY,Y,5051,,,
,,,CRAIGBURN FARM,Y,5051,,,
,,,HAWTHORNDENE,Y,5051,,,
,,,BELAIR,Y,5052,,,
,,,GLENALTA,Y,5052,,,
,,,HYDE PARK,Y,5061,,,
,,,MALVERN,Y,5061,,,
,,,UNLEY,Y,5061,,,
,,,UNLEY BC,Y,5061,,,
,,,UNLEY DC,Y,5061,,,
,,,UNLEY PARK,Y,5061,,,
,,,BROWN HILL CREEK,Y,5062,,,
,,,CLAPHAM,Y,5062,,,
,,,HAWTHORN,Y,5062,,,
,,,KINGSWOOD,Y,5062,,,
,,,LOWER MITCHAM,Y,5062,,,
,,,LYNTON,Y,5062,,,
,,,MITCHAM,Y,5062,,,
,,,MITCHAM SHOPPING CENTRE,Y,5062,,,
,,,NETHERBY,Y,5062,,,
,,,SPRINGFIELD,Y,5062,,,
,,,TORRENS PARK,Y,5062,,,
,,,EASTWOOD,Y,5063,,,
