AD_Org_ID[Name],C_Country_ID[Name],C_Region_ID[Name],Name,IsActive,Postal,AreaCode,Locode,Coordinates
,,,BATHURST STREET PO,Y,7000,,,
,,,GLEBE,Y,7000,,,
,,,HOBART,Y,7000,,,
,,,MOUNT STUART,Y,7000,,,
,,,NORTH HOBART,Y,7000,,,
,,,QUEENS DOMAIN,Y,7000,,,
,,,WEST HOBART,Y,7000,,,
,,,HOBART,Y,7001,,,
,,,TASMAN ISLAND,Y,7001,,,
,,,NORTH HOBART,Y,7002,,,
,,,BATTERY POINT,Y,7004,,,
,,,SOUTH HOBART,Y,7004,,,
,,,DYNNYRNE,Y,7005,,,
,,,LOWER SANDY BAY,Y,7005,,,
,,,SANDY BAY,Y,7005,,,
,,,UNIVERSITY OF TASMANIA,Y,7005,,,
,,,SANDY BAY,Y,7006,,,
,,,MOUNT NELSON,Y,7007,,,
,,,TOLMANS HILL,Y,7007,,,
,,,CORNELIAN BAY,Y,7008,,,
,,,LENAH VALLEY,Y,7008,,,
,,,NEW TOWN,Y,7008,,,
,,,DERWENT PARK,Y,7009,,,
,,,LUTANA,Y,7009,,,
,,,MOONAH,Y,7009,,,
,,,WEST MOONAH,Y,7009,,,
,,,DOWSING POINT,Y,7010,,,
,,,ELWICK,Y,7010,,,
,,,GLENORCHY,Y,7010,,,
,,,GOODWOOD,Y,7010,,,
,,,MONTROSE,Y,7010,,,
,,,ROSETTA,Y,7010,,,
,,,AUSTINS FERRY,Y,7011,,,
,,,BERRIEDALE,Y,7011,,,
,,,CHIGWELL,Y,7011,,,
,,,CLAREMONT,Y,7011,,,
,,,COLLINSVALE,Y,7012,,,
,,,GLENLUSK,Y,7012,,,
,,,FLAGSTAFF GULLY,Y,7015,,,
,,,GEILSTON BAY,Y,7015,,,
,,,LINDISFARNE,Y,7015,,,
,,,ROSE BAY,Y,7015,,,
,,,RISDON VALE,Y,7016,,,
,,,GRASSTREE HILL,Y,7017,,,
,,,HONEYWOOD,Y,7017,,,
,,,OLD BEACH,Y,7017,,,
,,,OTAGO,Y,7017,,,
,,,RISDON,Y,7017,,,
,,,TEA TREE,Y,7017,,,
,,,BELLERIVE,Y,7018,,,
,,,HOWRAH,Y,7018,,,
,,,MONTAGU BAY,Y,7018,,,
,,,MORNINGTON,Y,7018,,,
,,,ROSNY,Y,7018,,,
,,,ROSNY PARK,Y,7018,,,
,,,TRANMERE,Y,7018,,,
,,,WARRANE,Y,7018,,,
,,,CLARENDON VALE,Y,7019,,,
,,,OAKDOWNS,Y,7019,,,
,,,ROKEBY,Y,7019,,,
,,,CLIFTON BEACH,Y,7020,,,
,,,SANDFORD,Y,7020,,,
,,,LAUDERDALE,Y,7021,,,
,,,SOUTH ARM,Y,7022,,,
,,,OPOSSUM BAY,Y,7023,,,
,,,CREMORNE,Y,7024,,,
,,,DULCOT,Y,7025,,,
,,,RICHMOND,Y,7025,,,
,,,CAMPANIA,Y,7026,,,
,,,COLEBROOK,Y,7027,,,
,,,APSLEY,Y,7030,,,
,,,ARTHURS LAKE,Y,7030,,,
,,,BAGDAD,Y,7030,,,
,,,BAGDAD NORTH,Y,7030,,,
,,,BOTHWELL,Y,7030,,,
,,,BRIDGEWATER,Y,7030,,,
,,,BRIGHTON,Y,7030,,,
,,,BROADMARSH,Y,7030,,,
,,,CRAMPS BAY,Y,7030,,,
,,,DROMEDARY,Y,7030,,,
,,,DYSART,Y,7030,,,
,,,ELDERSLIE,Y,7030,,,
,,,FLINTSTONE,Y,7030,,,
,,,GAGEBROOK,Y,7030,,,
,,,GRANTON,Y,7030,,,
,,,HERDSMANS COVE,Y,7030,,,
,,,HERMITAGE,Y,7030,,,
,,,INTERLAKEN,Y,7030,,,
,,,JERICHO,Y,7030,,,
,,,KEMPTON,Y,7030,,,
,,,LAKE SORELL,Y,7030,,,
,,,LIAWENEE,Y,7030,,,
,,,LOWER MARSHES,Y,7030,,,
,,,MANGALORE,Y,7030,,,
,,,MELTON MOWBRAY,Y,7030,,,
,,,MIENA,Y,7030,,,
,,,MILLERS BLUFF,Y,7030,,,
,,,MORASS BAY,Y,7030,,,
,,,PELHAM,Y,7030,,,
,,,PONTVILLE,Y,7030,,,
,,,SHANNON,Y,7030,,,
,,,STEPPES,Y,7030,,,
,,,TODS CORNER,Y,7030,,,
,,,WADDAMANA,Y,7030,,,
,,,WILBURVILLE,Y,7030,,,
,,,ALBION HEIGHTS,Y,7050,,,
,,,KINGSTON,Y,7050,,,
,,,KINGSTON BEACH,Y,7050,,,
,,,KINGSTON,Y,7051,,,
,,,BLACKMANS BAY,Y,7052,,,
,,,BONNET HILL,Y,7053,,,
,,,TAROONA,Y,7053,,,
,,,BARRETTA,Y,7054,,,
,,,CONINGHAM,Y,7054,,,
,,,ELECTRONA,Y,7054,,,
,,,FERN TREE,Y,7054,,,
,,,HOWDEN,Y,7054,,,
,,,LESLIE VALE,Y,7054,,,
,,,LOWER SNUG,Y,7054,,,
,,,MARGATE,Y,7054,,,
,,,NEIKA,Y,7054,,,
,,,NIERINNA,Y,7054,,,
,,,PIERSONS POINT,Y,7054,,,
,,,RIDGEWAY,Y,7054,,,
,,,SNUG,Y,7054,,,
,,,TINDERBOX,Y,7054,,,
,,,WELLINGTON PARK,Y,7054,,,
,,,HUNTINGFIELD,Y,7055,,,
,,,CATAMARAN,Y,7109,,,
,,,CRABTREE,Y,7109,,,
,,,CRADOC,Y,7109,,,
,,,GLAZIERS BAY,Y,7109,,,
,,,GLEN HUON,Y,7109,,,
,,,GLENDEVIE,Y,7109,,,
,,,GROVE,Y,7109,,,
,,,HASTINGS,Y,7109,,,
,,,HUONVILLE,Y,7109,,,
,,,IDA BAY,Y,7109,,,
,,,JUDBURY,Y,7109,,,
,,,LONNAVALE,Y,7109,,,
,,,LOWER LONGLEY,Y,7109,,,
,,,LOWER WATTLE GROVE,Y,7109,,,
,,,LUCASTON,Y,7109,,,
,,,LUNE RIVER,Y,7109,,,
,,,LYMINGTON,Y,7109,,,
,,,MOUNTAIN RIVER,Y,7109,,,
,,,PETCHEYS BAY,Y,7109,,,
,,,RAMINEA,Y,7109,,,
,,,RANELAGH,Y,7109,,,
,,,RECHERCHE,Y,7109,,,
,,,SOUTHPORT,Y,7109,,,
,,,SOUTHPORT LAGOON,Y,7109,,,
,,,STRATHBLANE,Y,7109,,,
,,,WATERLOO,Y,7109,,,
,,,WATTLE GROVE,Y,7109,,,
,,,WOODSTOCK,Y,7109,,,
,,,ABELS BAY,Y,7112,,,
,,,CHARLOTTE COVE,Y,7112,,,
,,,CYGNET,Y,7112,,,
,,,DEEP BAY,Y,7112,,,
,,,EGGS AND BACON BAY,Y,7112,,,
,,,GARDEN ISLAND CREEK,Y,7112,,,
,,,GARDNERS BAY,Y,7112,,,
,,,HUON ISLAND,Y,7112,,,
,,,NICHOLLS RIVULET,Y,7112,,,
,,,RANDALLS BAY,Y,7112,,,
,,,VERONA SANDS,Y,7112,,,
,,,FRANKLIN,Y,7113,,,
,,,BROOKS BAY,Y,7116,,,
,,,CAIRNS BAY,Y,7116,,,
,,,CASTLE FORBES BAY,Y,7116,,,
,,,GEEVESTON,Y,7116,,,
,,,POLICE POINT,Y,7116,,,
,,,PORT HUON,Y,7116,,,
,,,SURGES BAY,Y,7116,,,
,,,SURVEYORS BAY,Y,7116,,,
,,,DOVER,Y,7117,,,
,,,STONOR,Y,7119,,,
,,,ANDOVER,Y,7120,,,
,,,ANTILL PONDS,Y,7120,,,
,,,BADEN,Y,7120,,,
,,,LEMONT,Y,7120,,,
,,,LEVENDALE,Y,7120,,,
,,,MOUNT SEYMOUR,Y,7120,,,
,,,OATLANDS,Y,7120,,,
,,,PARATTAH,Y,7120,,,
,,,PAWTELLA,Y,7120,,,
,,,RHYNDASTON,Y,7120,,,
,,,STONEHENGE,Y,7120,,,
,,,SWANSTON,Y,7120,,,
,,,TIBERIAS,Y,7120,,,
,,,TUNBRIDGE,Y,7120,,,
,,,TUNNACK,Y,7120,,,
,,,WHITEFOORD,Y,7120,,,
,,,WOODBURY,Y,7120,,,
,,,WOODSDALE,Y,7120,,,
,,,YORK PLAINS,Y,7120,,,
,,,STRATHGORDON,Y,7139,,,
,,,BLACK HILLS,Y,7140,,,
,,,BOYER,Y,7140,,,
,,,BRADYS LAKE,Y,7140,,,
,,,BRONTE PARK,Y,7140,,,
,,,BUSHY PARK,Y,7140,,,
,,,BUTLERS GORGE,Y,7140,,,
,,,DEE,Y,7140,,,
,,,DERWENT BRIDGE,Y,7140,,,
,,,ELLENDALE,Y,7140,,,
,,,FENTONBURY,Y,7140,,,
,,,FITZGERALD,Y,7140,,,
,,,FLORENTINE,Y,7140,,,
,,,GLENFERN,Y,7140,,,
,,,GLENORA,Y,7140,,,
,,,GRETNA,Y,7140,,,
,,,HAMILTON,Y,7140,,,
,,,HAYES,Y,7140,,,
,,,HOLLOW TREE,Y,7140,,,
,,,KARANJA,Y,7140,,,
,,,LACHLAN,Y,7140,,,
,,,LAKE ST CLAIR,Y,7140,,,
,,,LAWITTA,Y,7140,,,
,,,LITTLE PINE LAGOON,Y,7140,,,
,,,LONDON LAKES,Y,7140,,,
,,,MACQUARIE PLAINS,Y,7140,,,
,,,MAGRA,Y,7140,,,
,,,MALBINA,Y,7140,,,
,,,MAYDENA,Y,7140,,,
,,,MEADOWBANK,Y,7140,,,
,,,MOLESWORTH,Y,7140,,,
,,,MOOGARA,Y,7140,,,
,,,MOUNT FIELD,Y,7140,,,
,,,MOUNT LLOYD,Y,7140,,,
,,,NATIONAL PARK,Y,7140,,,
,,,NEW NORFOLK,Y,7140,,,
,,,OSTERLEY,Y,7140,,,
,,,OUSE,Y,7140,,,
,,,PLENTY,Y,7140,,,
,,,ROSEGARLAND,Y,7140,,,
,,,SORELL CREEK,Y,7140,,,
,,,STRICKLAND,Y,7140,,,
,,,STYX,Y,7140,,,
,,,TARRALEAH,Y,7140,,,
,,,TYENNA,Y,7140,,,
,,,UXBRIDGE,Y,7140,,,
,,,VICTORIA VALLEY,Y,7140,,,
,,,WAYATINAH,Y,7140,,,
,,,WESTERWAY,Y,7140,,,
,,,ADVENTURE BAY,Y,7150,,,
,,,ALLENS RIVULET,Y,7150,,,
,,,ALONNAH,Y,7150,,,
,,,APOLLO BAY,Y,7150,,,
,,,BARNES BAY,Y,7150,,,
,,,DENNES POINT,Y,7150,,,
,,,GORDON,Y,7150,,,
,,,GREAT BAY,Y,7150,,,
,,,KAOOTA,Y,7150,,,
,,,KILLORA,Y,7150,,,
,,,LONGLEY,Y,7150,,,
,,,LUNAWANNA,Y,7150,,,
,,,NORTH BRUNY,Y,7150,,,
,,,OYSTER COVE,Y,7150,,,
