AD_Org_ID[Name],C_Country_ID[Name],C_Region_ID[Name],Name,IsActive,Postal,AreaCode,Locode,Coordinates
,,,MELBOURNE,Y,3000,,,
,,,MELBOURNE,Y,3001,,,
,,,EAST MELBOURNE,Y,3002,,,
,,,WEST MELBOURNE,Y,3003,,,
,,,MELBOURNE,Y,3004,,,
,,,ST KILDA ROAD CENTRAL,Y,3004,,,
,,,ST KILDA ROAD MELBOURNE,Y,3004,,,
,,,WORLD TRADE CENTRE,Y,3005,,,
,,,SOUTH WHARF,Y,3006,,,
,,,SOUTHBANK,Y,3006,,,
,,,DOCKLANDS,Y,3008,,,
,,,UNIVERSITY OF MELBOURNE,Y,3010,,,
,,,FOOTSCRAY,Y,3011,,,
,,,SEDDON,Y,3011,,,
,,,SEDDON WEST,Y,3011,,,
,,,BROOKLYN,Y,3012,,,
,,,KINGSVILLE,Y,3012,,,
,,,KINGSVILLE WEST,Y,3012,,,
,,,MAIDSTONE,Y,3012,,,
,,,TOTTENHAM,Y,3012,,,
,,,WEST FOOTSCRAY,Y,3012,,,
,,,YARRAVILLE,Y,3013,,,
,,,YARRAVILLE WEST,Y,3013,,,
,,,NEWPORT,Y,3015,,,
,,,SOUTH KINGSVILLE,Y,3015,,,
,,,SPOTSWOOD,Y,3015,,,
,,,WILLIAMSTOWN,Y,3016,,,
,,,WILLIAMSTOWN NORTH,Y,3016,,,
,,,ALTONA,Y,3018,,,
,,,SEAHOLME,Y,3018,,,
,,,BRAYBROOK,Y,3019,,,
,,,BRAYBROOK NORTH,Y,3019,,,
,,,ROBINSON,Y,3019,,,
,,,ALBION,Y,3020,,,
,,,GLENGALA,Y,3020,,,
,,,SUNSHINE,Y,3020,,,
,,,SUNSHINE NORTH,Y,3020,,,
,,,SUNSHINE WEST,Y,3020,,,
,,,ALBANVALE,Y,3021,,,
,,,KEALBA,Y,3021,,,
,,,KINGS PARK,Y,3021,,,
,,,ST ALBANS,Y,3021,,,
,,,ARDEER,Y,3022,,,
,,,DEER PARK EAST,Y,3022,,,
,,,BURNSIDE,Y,3023,,,
,,,BURNSIDE HEIGHTS,Y,3023,,,
,,,CAIRNLEA,Y,3023,,,
,,,CAROLINE SPRINGS,Y,3023,,,
,,,DEER PARK,Y,3023,,,
,,,DEER PARK NORTH,Y,3023,,,
,,,RAVENHALL,Y,3023,,,
,,,FIELDSTONE,Y,3024,,,
,,,MAMBOURIN,Y,3024,,,
,,,MANOR LAKES,Y,3024,,,
,,,MOUNT COTTRELL,Y,3024,,,
,,,WYNDHAM VALE,Y,3024,,,
,,,ALTONA EAST,Y,3025,,,
,,,ALTONA GATE,Y,3025,,,
,,,ALTONA NORTH,Y,3025,,,
,,,DERRIMUT,Y,3026,,,
,,,LAVERTON NORTH,Y,3026,,,
,,,LAVERTON RAAF,Y,3027,,,
,,,WILLIAMS LANDING,Y,3027,,,
,,,WILLIAMS RAAF,Y,3027,,,
,,,ALTONA MEADOWS,Y,3028,,,
,,,LAVERTON,Y,3028,,,
,,,SEABROOK,Y,3028,,,
,,,HOPPERS CROSSING,Y,3029,,,
,,,TARNEIT,Y,3029,,,
,,,TRUGANINA,Y,3029,,,
,,,CHARTWELL,Y,3030,,,
,,,COCOROC,Y,3030,,,
,,,POINT COOK,Y,3030,,,
,,,QUANDONG,Y,3030,,,
,,,WERRIBEE,Y,3030,,,
,,,WERRIBEE SOUTH,Y,3030,,,
,,,FLEMINGTON,Y,3031,,,
,,,KENSINGTON,Y,3031,,,
,,,ASCOT VALE,Y,3032,,,
,,,HIGHPOINT CITY,Y,3032,,,
,,,MARIBYRNONG,Y,3032,,,
,,,TRAVANCORE,Y,3032,,,
,,,KEILOR EAST,Y,3033,,,
,,,AVONDALE HEIGHTS,Y,3034,,,
,,,KEILOR,Y,3036,,,
,,,KEILOR NORTH,Y,3036,,,
,,,CALDER PARK,Y,3037,,,
,,,DELAHEY,Y,3037,,,
,,,HILLSIDE,Y,3037,,,
,,,PLUMPTON,Y,3037,,,
,,,SYDENHAM,Y,3037,,,
,,,TAYLORS HILL,Y,3037,,,
,,,KEILOR DOWNS,Y,3038,,,
,,,KEILOR LODGE,Y,3038,,,
,,,TAYLORS LAKES,Y,3038,,,
,,,WATERGARDENS,Y,3038,,,
,,,MOONEE PONDS,Y,3039,,,
,,,ABERFELDIE,Y,3040,,,
,,,ESSENDON,Y,3040,,,
,,,ESSENDON WEST,Y,3040,,,
,,,CROSS KEYS,Y,3041,,,
,,,ESSENDON FIELDS,Y,3041,,,
,,,ESSENDON NORTH,Y,3041,,,
,,,STRATHMORE,Y,3041,,,
,,,STRATHMORE HEIGHTS,Y,3041,,,
,,,AIRPORT WEST,Y,3042,,,
,,,KEILOR PARK,Y,3042,,,
,,,NIDDRIE,Y,3042,,,
,,,NIDDRIE NORTH,Y,3042,,,
,,,GLADSTONE PARK,Y,3043,,,
,,,GOWANBRAE,Y,3043,,,
,,,TULLAMARINE,Y,3043,,,
,,,PASCOE VALE,Y,3044,,,
,,,PASCOE VALE SOUTH,Y,3044,,,
,,,MELBOURNE AIRPORT,Y,3045,,,
,,,GLENROY,Y,3046,,,
,,,HADFIELD,Y,3046,,,
,,,OAK PARK,Y,3046,,,
,,,BROADMEADOWS,Y,3047,,,
,,,DALLAS,Y,3047,,,
,,,JACANA,Y,3047,,,
,,,COOLAROO,Y,3048,,,
,,,MEADOW HEIGHTS,Y,3048,,,
,,,ATTWOOD,Y,3049,,,
,,,WESTMEADOWS,Y,3049,,,
,,,ROYAL MELBOURNE HOSPITAL,Y,3050,,,
,,,HOTHAM HILL,Y,3051,,,
,,,NORTH MELBOURNE,Y,3051,,,
,,,MELBOURNE UNIVERSITY,Y,3052,,,
,,,PARKVILLE,Y,3052,,,
,,,CARLTON,Y,3053,,,
,,,CARLTON SOUTH,Y,3053,,,
,,,CARLTON NORTH,Y,3054,,,
,,,PRINCES HILL,Y,3054,,,
,,,BRUNSWICK SOUTH,Y,3055,,,
,,,BRUNSWICK WEST,Y,3055,,,
,,,MOONEE VALE,Y,3055,,,
,,,MORELAND WEST,Y,3055,,,
,,,BRUNSWICK,Y,3056,,,
,,,BRUNSWICK LOWER,Y,3056,,,
,,,BRUNSWICK NORTH,Y,3056,,,
,,,BRUNSWICK EAST,Y,3057,,,
,,,LYGON STREET NORTH,Y,3057,,,
,,,SUMNER,Y,3057,,,
,,,BATMAN,Y,3058,,,
,,,COBURG,Y,3058,,,
,,,COBURG NORTH,Y,3058,,,
,,,MERLYNSTON,Y,3058,,,
,,,MORELAND,Y,3058,,,
,,,GREENVALE,Y,3059,,,
,,,FAWKNER,Y,3060,,,
,,,FAWKNER EAST,Y,3060,,,
,,,FAWKNER NORTH,Y,3060,,,
,,,CAMPBELLFIELD,Y,3061,,,
,,,SOMERTON,Y,3062,,,
,,,OAKLANDS JUNCTION,Y,3063,,,
,,,YUROKE,Y,3063,,,
,,,CRAIGIEBURN,Y,3064,,,
,,,DONNYBROOK,Y,3064,,,
,,,KALKALLO,Y,3064,,,
,,,MICKLEHAM,Y,3064,,,
,,,ROXBURGH PARK,Y,3064,,,
,,,FITZROY,Y,3065,,,
,,,COLLINGWOOD,Y,3066,,,
,,,COLLINGWOOD NORTH,Y,3066,,,
,,,ABBOTSFORD,Y,3067,,,
,,,CLIFTON HILL,Y,3068,,,
,,,FITZROY NORTH,Y,3068,,,
,,,NORTHCOTE,Y,3070,,,
,,,NORTHCOTE SOUTH,Y,3070,,,
,,,THORNBURY,Y,3071,,,
,,,GILBERTON,Y,3072,,,
,,,NORTHLAND CENTRE,Y,3072,,,
,,,PRESTON,Y,3072,,,
,,,PRESTON LOWER,Y,3072,,,
,,,PRESTON SOUTH,Y,3072,,,
,,,PRESTON WEST,Y,3072,,,
,,,REGENT WEST,Y,3072,,,
,,,SYLVESTER,Y,3072,,,
,,,KEON PARK,Y,3073,,,
,,,RESERVOIR,Y,3073,,,
,,,RESERVOIR EAST,Y,3073,,,
,,,RESERVOIR NORTH,Y,3073,,,
,,,RESERVOIR SOUTH,Y,3073,,,
,,,THOMASTOWN,Y,3074,,,
,,,LALOR,Y,3075,,,
,,,LALOR PLAZA,Y,3075,,,
,,,EPPING,Y,3076,,,
,,,EPPING DC,Y,3076,,,
,,,ALPHINGTON,Y,3078,,,
,,,FAIRFIELD,Y,3078,,,
,,,IVANHOE,Y,3079,,,
,,,IVANHOE EAST,Y,3079,,,
,,,IVANHOE NORTH,Y,3079,,,
,,,BELLFIELD,Y,3081,,,
,,,HEIDELBERG HEIGHTS,Y,3081,,,
,,,HEIDELBERG RGH,Y,3081,,,
,,,HEIDELBERG WEST,Y,3081,,,
,,,MILL PARK,Y,3082,,,
,,,BUNDOORA,Y,3083,,,
,,,KINGSBURY,Y,3083,,,
,,,LA TROBE UNIVERSITY,Y,3083,,,
,,,BANYULE,Y,3084,,,
,,,EAGLEMONT,Y,3084,,,
,,,HEIDELBERG,Y,3084,,,
,,,ROSANNA,Y,3084,,,
,,,VIEWBANK,Y,3084,,,
,,,MACLEOD,Y,3085,,,
,,,MACLEOD WEST,Y,3085,,,
,,,YALLAMBIE,Y,3085,,,
,,,LA TROBE UNIVERSITY,Y,3086,,,
,,,WATSONIA,Y,3087,,,
,,,WATSONIA NORTH,Y,3087,,,
,,,BRIAR HILL,Y,3088,,,
,,,GREENSBOROUGH,Y,3088,,,
,,,SAINT HELENA,Y,3088,,,
,,,ST HELENA,Y,3088,,,
,,,DIAMOND CREEK,Y,3089,,,
,,,PLENTY,Y,3090,,,
,,,YARRAMBAT,Y,3091,,,
,,,LOWER PLENTY,Y,3093,,,
,,,MONTMORENCY,Y,3094,,,
,,,ELTHAM,Y,3095,,,
,,,ELTHAM NORTH,Y,3095,,,
,,,RESEARCH,Y,3095,,,
,,,WATTLE GLEN,Y,3096,,,
,,,BEND OF ISLANDS,Y,3097,,,
,,,KANGAROO GROUND,Y,3097,,,
,,,WATSONS CREEK,Y,3097,,,
,,,ARTHURS CREEK,Y,3099,,,
,,,COTTLES BRIDGE,Y,3099,,,
,,,HURSTBRIDGE,Y,3099,,,
,,,NUTFIELD,Y,3099,,,
,,,STRATHEWEN,Y,3099,,,
,,,COTHAM,Y,3101,,,
,,,KEW,Y,3101,,,
,,,KEW EAST,Y,3102,,,
,,,BALWYN,Y,3103,,,
,,,BALWYN EAST,Y,3103,,,
,,,DEEPDENE,Y,3103,,,
,,,DEEPDENE DC,Y,3103,,,
,,,STRADBROKE PARK,Y,3103,,,
,,,BALWYN NORTH,Y,3104,,,
,,,GREYTHORN,Y,3104,,,
,,,BULLEEN,Y,3105,,,
,,,BULLEEN SOUTH,Y,3105,,,
,,,TEMPLESTOWE,Y,3106,,,
,,,TEMPLESTOWE LOWER,Y,3107,,,
,,,DONCASTER,Y,3108,,,
,,,DONCASTER EAST,Y,3109,,,
,,,DONCASTER HEIGHTS,Y,3109,,,
,,,THE PINES,Y,3109,,,
,,,TUNSTALL SQUARE PO,Y,3109,,,
,,,DONVALE,Y,3111,,,
,,,NORTH WARRANDYTE,Y,3113,,,
,,,WARRANDYTE,Y,3113,,,
,,,PARK ORCHARDS,Y,3114,,,
,,,WONGA PARK,Y,3115,,,
,,,CHIRNSIDE PARK,Y,3116,,,
,,,BURNLEY,Y,3121,,,
,,,BURNLEY NORTH,Y,3121,,,
,,,CREMORNE,Y,3121,,,
,,,RICHMOND,Y,3121,,,
,,,RICHMOND EAST,Y,3121,,,
,,,RICHMOND NORTH,Y,3121,,,
,,,RICHMOND SOUTH,Y,3121,,,
,,,VICTORIA GARDENS,Y,3121,,,
,,,AUBURN SOUTH,Y,3122,,,
,,,GLENFERRIE SOUTH,Y,3122,,,
,,,HAWTHORN,Y,3122,,,
,,,HAWTHORN NORTH,Y,3122,,,
,,,HAWTHORN WEST,Y,3122,,,
,,,AUBURN,Y,3123,,,
,,,HAWTHORN EAST,Y,3123,,,
,,,CAMBERWELL,Y,3124,,,
,,,CAMBERWELL NORTH,Y,3124,,,
,,,CAMBERWELL SOUTH,Y,3124,,,
,,,CAMBERWELL WEST,Y,3124,,,
,,,HARTWELL,Y,3124,,,
,,,MIDDLE CAMBERWELL,Y,3124,,,
,,,BENNETTSWOOD,Y,3125,,,
,,,BURWOOD,Y,3125,,,
,,,SURREY HILLS SOUTH,Y,3125,,,
,,,CAMBERWELL EAST,Y,3126,,,
,,,CANTERBURY,Y,3126,,,
,,,MONT ALBERT,Y,3127,,,
,,,SURREY HILLS,Y,3127,,,
,,,SURREY HILLS NORTH,Y,3127,,,
,,,BOX HILL,Y,3128,,,
,,,BOX HILL CENTRAL,Y,3128,,,
,,,BOX HILL SOUTH,Y,3128,,,
,,,HOUSTON,Y,3128,,,
,,,WATTLE PARK,Y,3128,,,
,,,BOX HILL NORTH,Y,3129,,,
,,,KERRIMUIR,Y,3129,,,
,,,MONT ALBERT NORTH,Y,3129,,,
,,,BLACKBURN,Y,3130,,,
,,,BLACKBURN NORTH,Y,3130,,,
,,,BLACKBURN SOUTH,Y,3130,,,
,,,LABURNUM,Y,3130,,,
,,,BRENTFORD SQUARE,Y,3131,,,
,,,FOREST HILL,Y,3131,,,
,,,NUNAWADING,Y,3131,,,
,,,MITCHAM,Y,3132,,,
,,,MITCHAM NORTH,Y,3132,,,
,,,RANGEVIEW,Y,3132,,,
,,,VERMONT,Y,3133,,,
,,,VERMONT SOUTH,Y,3133,,,
,,,HEATHWOOD,Y,3134,,,
,,,RINGWOOD,Y,3134,,,
,,,RINGWOOD NORTH,Y,3134,,,
,,,WARRANDYTE SOUTH,Y,3134,,,
,,,WARRANWOOD,Y,3134,,,
,,,BEDFORD ROAD,Y,3135,,,
,,,HEATHMONT,Y,3135,,,
,,,RINGWOOD EAST,Y,3135,,,
,,,CROYDON,Y,3136,,,
,,,CROYDON HILLS,Y,3136,,,
,,,CROYDON NORTH,Y,3136,,,
,,,CROYDON SOUTH,Y,3136,,,
,,,KILSYTH,Y,3137,,,
,,,KILSYTH SOUTH,Y,3137,,,
,,,MOOROOLBARK,Y,3138,,,
,,,BEENAK,Y,3139,,,
,,,DON VALLEY,Y,3139,,,
,,,HODDLES CREEK,Y,3139,,,
,,,LAUNCHING PLACE,Y,3139,,,
,,,SEVILLE,Y,3139,,,
,,,SEVILLE EAST,Y,3139,,,
,,,WANDIN EAST,Y,3139,,,
,,,WANDIN NORTH,Y,3139,,,
,,,WOORI YALLOCK,Y,3139,,,
,,,YELLINGBO,Y,3139,,,
,,,LILYDALE,Y,3140,,,
,,,CHAPEL STREET NORTH,Y,3141,,,
,,,DOMAIN ROAD PO,Y,3141,,,
,,,SOUTH YARRA,Y,3141,,,
,,,HAWKSBURN,Y,3142,,,
,,,TOORAK,Y,3142,,,
,,,ARMADALE,Y,3143,,,
,,,ARMADALE NORTH,Y,3143,,,
,,,KOOYONG,Y,3144,,,
,,,MALVERN,Y,3144,,,
,,,MALVERN NORTH,Y,3144,,,
,,,CAULFIELD EAST,Y,3145,,,
,,,CENTRAL PARK,Y,3145,,,
,,,DARLING,Y,3145,,,
,,,DARLING SOUTH,Y,3145,,,
,,,MALVERN EAST,Y,3145,,,
,,,WATTLETREE ROAD PO,Y,3145,,,
,,,GLEN IRIS,Y,3146,,,
,,,TOORONGA,Y,3146,,,
,,,ASHBURTON,Y,3147,,,
,,,ASHWOOD,Y,3147,,,
,,,CHADSTONE,Y,3148,,,
,,,CHADSTONE CENTRE,Y,3148,,,
,,,HOLMESGLEN,Y,3148,,,
,,,JORDANVILLE,Y,3148,,,
,,,MOUNT WAVERLEY,Y,3149,,,
,,,PINEWOOD,Y,3149,,,
,,,SYNDAL,Y,3149,,,
,,,BRANDON PARK,Y,3150,,,
,,,GLEN WAVERLEY,Y,3150,,,
,,,WHEELERS HILL,Y,3150,,,
,,,BURWOOD EAST,Y,3151,,,
,,,BURWOOD HEIGHTS,Y,3151,,,
,,,KNOX CITY CENTRE,Y,3152,,,
,,,STUDFIELD,Y,3152,,,
,,,WANTIRNA,Y,3152,,,
,,,WANTIRNA SOUTH,Y,3152,,,
,,,BAYSWATER,Y,3153,,,
,,,BAYSWATER NORTH,Y,3153,,,
,,,THE BASIN,Y,3154,,,
,,,BORONIA,Y,3155,,,
,,,FERNTREE GULLY,Y,3156,,,
,,,LYSTERFIELD,Y,3156,,,
,,,LYSTERFIELD SOUTH,Y,3156,,,
,,,MOUNTAIN GATE,Y,3156,,,
,,,UPPER FERNTREE GULLY,Y,3156,,,
,,,UPWEY,Y,3158,,,
,,,MENZIES CREEK,Y,3159,,,
,,,SELBY,Y,3159,,,
,,,BELGRAVE,Y,3160,,,
,,,BELGRAVE HEIGHTS,Y,3160,,,
,,,BELGRAVE SOUTH,Y,3160,,,
,,,TECOMA,Y,3160,,,
,,,CAULFIELD JUNCTION,Y,3161,,,
,,,CAULFIELD NORTH,Y,3161,,,
,,,CAULFIELD,Y,3162,,,
,,,CAULFIELD SOUTH,Y,3162,,,
,,,HOPETOUN GARDENS,Y,3162,,,
,,,BOORAN ROAD PO,Y,3163,,,
,,,CARNEGIE,Y,3163,,,
,,,GLEN HUNTLY,Y,3163,,,
,,,MURRUMBEENA,Y,3163,,,
,,,DANDENONG SOUTH,Y,3164,,,
,,,BENTLEIGH EAST,Y,3165,,,
,,,COATESVILLE,Y,3165,,,
,,,HUGHESDALE,Y,3166,,,
,,,HUNTINGDALE,Y,3166,,,
,,,OAKLEIGH,Y,3166,,,
,,,OAKLEIGH EAST,Y,3166,,,
,,,OAKLEIGH SOUTH,Y,3167,,,
,,,CLAYTON,Y,3168,,,
,,,NOTTING HILL,Y,3168,,,
,,,CLARINDA,Y,3169,,,
,,,CLAYTON SOUTH,Y,3169,,,
,,,MULGRAVE,Y,3170,,,
,,,WAVERLEY GARDENS,Y,3170,,,
,,,SANDOWN VILLAGE,Y,3171,,,
,,,SPRINGVALE,Y,3171,,,
,,,DINGLEY VILLAGE,Y,3172,,,
,,,SPRINGVALE SOUTH,Y,3172,,,
,,,KEYSBOROUGH,Y,3173,,,
,,,NOBLE PARK,Y,3174,,,
,,,NOBLE PARK EAST,Y,3174,,,
,,,NOBLE PARK NORTH,Y,3174,,,
,,,BANGHOLME,Y,3175,,,
,,,DANDENONG,Y,3175,,,
,,,DANDENONG EAST,Y,3175,,,
,,,DANDENONG NORTH,Y,3175,,,
,,,DANDENONG SOUTH,Y,3175,,,
,,,DUNEARN,Y,3175,,,
,,,SCORESBY BC,Y,3176,,,
,,,DOVETON,Y,3177,,,
,,,EUMEMMERRING,Y,3177,,,
,,,ROWVILLE,Y,3178,,,
,,,SCORESBY,Y,3179,,,
,,,KNOXFIELD,Y,3180,,,
,,,PRAHRAN,Y,3181,,,
,,,PRAHRAN EAST,Y,3181,,,
,,,WINDSOR,Y,3181,,,
,,,ST KILDA,Y,3182,,,
,,,ST KILDA SOUTH,Y,3182,,,
,,,ST KILDA WEST,Y,3182,,,
,,,BALACLAVA,Y,3183,,,
,,,ST KILDA EAST,Y,3183,,,
,,,BRIGHTON ROAD,Y,3184,,,
,,,ELWOOD,Y,3184,,,
,,,ELSTERNWICK,Y,3185,,,
,,,GARDENVALE,Y,3185,,,
,,,RIPPONLEA,Y,3185,,,
,,,BRIGHTON,Y,3186,,,
,,,BRIGHTON NORTH,Y,3186,,,
,,,DENDY,Y,3186,,,
,,,WERE STREET PO,Y,3186,,,
,,,BRIGHTON EAST,Y,3187,,,
,,,NORTH ROAD,Y,3187,,,
,,,HAMPTON,Y,3188,,,
,,,HAMPTON EAST,Y,3188,,,
,,,HAMPTON NORTH,Y,3188,,,
,,,MOORABBIN,Y,3189,,,
,,,MOORABBIN EAST,Y,3189,,,
,,,WISHART,Y,3189,,,
,,,HIGHETT,Y,3190,,,
,,,SANDRINGHAM,Y,3191,,,
,,,CHELTENHAM,Y,3192,,,
,,,CHELTENHAM EAST,Y,3192,,,
,,,CHELTENHAM NORTH,Y,3192,,,
,,,SOUTHLAND CENTRE,Y,3192,,,
,,,BEAUMARIS,Y,3193,,,
,,,BLACK ROCK,Y,3193,,,
,,,BLACK ROCK NORTH,Y,3193,,,
,,,CROMER,Y,3193,,,
,,,MENTONE,Y,3194,,,
,,,MENTONE EAST,Y,3194,,,
,,,MOORABBIN AIRPORT,Y,3194,,,
,,,ASPENDALE,Y,3195,,,
,,,ASPENDALE GARDENS,Y,3195,,,
,,,BRAESIDE,Y,3195,,,
,,,MORDIALLOC,Y,3195,,,
,,,MORDIALLOC NORTH,Y,3195,,,
,,,PARKDALE,Y,3195,,,
,,,WATERWAYS,Y,3195,,,
,,,BONBEACH,Y,3196,,,
,,,CHELSEA,Y,3196,,,
,,,CHELSEA HEIGHTS,Y,3196,,,
,,,EDITHVALE,Y,3196,,,
,,,CARRUM,Y,3197,,,
,,,PATTERSON LAKES,Y,3197,,,
,,,BELVEDERE PARK,Y,3198,,,
,,,SEAFORD,Y,3198,,,
,,,FRANKSTON,Y,3199,,,
,,,FRANKSTON EAST,Y,3199,,,
,,,FRANKSTON HEIGHTS,Y,3199,,,
,,,FRANKSTON SOUTH,Y,3199,,,
,,,KARINGAL,Y,3199,,,
,,,KARINGAL CENTRE,Y,3199,,,
,,,FRANKSTON NORTH,Y,3200,,,
,,,PINES FOREST,Y,3200,,,
,,,CARRUM DOWNS,Y,3201,,,
,,,HEATHERTON,Y,3202,,,
,,,BENTLEIGH,Y,3204,,,
,,,MCKINNON,Y,3204,,,
,,,ORMOND,Y,3204,,,
,,,PATTERSON,Y,3204,,,
,,,SOUTH MELBOURNE,Y,3205,,,
,,,SOUTH MELBOURNE DC,Y,3205,,,
,,,ALBERT PARK,Y,3206,,,
,,,MIDDLE PARK,Y,3206,,,
,,,GARDEN CITY,Y,3207,,,
,,,PORT MELBOURNE,Y,3207,,,
,,,LITTLE RIVER,Y,3211,,,
,,,AVALON,Y,3212,,,
,,,LARA,Y,3212,,,
,,,POINT WILSON,Y,3212,,,
,,,ANAKIE,Y,3213,,,
,,,BATESFORD,Y,3213,,,
,,,LOVELY BANKS,Y,3213,,,
,,,MOORABOOL,Y,3213,,,
,,,CORIO,Y,3214,,,
,,,NORLANE,Y,3214,,,
,,,NORTH SHORE,Y,3214,,,
,,,BELL PARK,Y,3215,,,
,,,BELL POST HILL,Y,3215,,,
,,,DRUMCONDRA,Y,3215,,,
,,,GEELONG NORTH,Y,3215,,,
,,,HAMLYN HEIGHTS,Y,3215,,,
,,,NORTH GEELONG,Y,3215,,,
,,,RIPPLESIDE,Y,3215,,,
,,,BELMONT,Y,3216,,,
,,,FRESHWATER CREEK,Y,3216,,,
,,,GROVEDALE,Y,3216,,,
,,,GROVEDALE EAST,Y,3216,,,
,,,HIGHTON,Y,3216,,,
,,,MARSHALL,Y,3216,,,
,,,MOUNT DUNEED,Y,3216,,,
,,,WANDANA HEIGHTS,Y,3216,,,
,,,WAURN PONDS,Y,3216,,,
,,,ARMSTRONG CREEK,Y,3217,,,
,,,CHARLEMONT,Y,3217,,,
,,,DEAKIN UNIVERSITY,Y,3217,,,
,,,FRESHWATER CREEK,Y,3217,,,
,,,MOUNT DUNEED,Y,3217,,,
,,,FYANSFORD,Y,3218,,,
,,,GEELONG WEST,Y,3218,,,
,,,HERNE HILL,Y,3218,,,
,,,MANIFOLD HEIGHTS,Y,3218,,,
,,,MURGHEBOLUC,Y,3218,,,
,,,STONEHAVEN,Y,3218,,,
,,,BREAKWATER,Y,3219,,,
,,,EAST GEELONG,Y,3219,,,
,,,NEWCOMB,Y,3219,,,
,,,ST ALBANS PARK,Y,3219,,,
,,,THOMSON,Y,3219,,,
,,,WHITTINGTON,Y,3219,,,
,,,BAREENA,Y,3220,,,
,,,GEELONG,Y,3220,,,
,,,NEWTOWN,Y,3220,,,
,,,SOUTH GEELONG,Y,3220,,,
,,,ANAKIE,Y,3221,,,
,,,BARRABOOL,Y,3221,,,
,,,BATESFORD,Y,3221,,,
,,,BELLARINE,Y,3221,,,
,,,CERES,Y,3221,,,
,,,FYANSFORD,Y,3221,,,
,,,GEELONG MC,Y,3221,,,
,,,GNARWARRE,Y,3221,,,
,,,GREY RIVER,Y,3221,,,
,,,KENNETT RIVER,Y,3221,,,
,,,LOVELY BANKS,Y,3221,,,
,,,MOOLAP,Y,3221,,,
,,,MOORABOOL,Y,3221,,,
,,,MURGHEBOLUC,Y,3221,,,
,,,SEPARATION CREEK,Y,3221,,,
,,,STAUGHTON VALE,Y,3221,,,
,,,STONEHAVEN,Y,3221,,,
,,,SUGARLOAF,Y,3221,,,
,,,WALLINGTON,Y,3221,,,
,,,WONGARRA,Y,3221,,,
,,,WYE RIVER,Y,3221,,,
,,,CLIFTON SPRINGS,Y,3222,,,
,,,CURLEWIS,Y,3222,,,
,,,DRYSDALE,Y,3222,,,
,,,MANNERIM,Y,3222,,,
,,,MARCUS HILL,Y,3222,,,
,,,WALLINGTON,Y,3222,,,
,,,BELLARINE,Y,3223,,,
,,,INDENTED HEAD,Y,3223,,,
,,,PORTARLINGTON,Y,3223,,,
,,,ST LEONARDS,Y,3223,,,
,,,LEOPOLD,Y,3224,,,
,,,MOOLAP,Y,3224,,,
,,,POINT LONSDALE,Y,3225,,,
,,,QUEENSCLIFF,Y,3225,,,
,,,SWAN BAY,Y,3225,,,
,,,SWAN ISLAND,Y,3225,,,
,,,OCEAN GROVE,Y,3226,,,
,,,BARWON HEADS,Y,3227,,,
,,,BREAMLEA,Y,3227,,,
,,,CONNEWARRE,Y,3227,,,
,,,BELLBRAE,Y,3228,,,
,,,BELLS BEACH,Y,3228,,,
,,,JAN JUC,Y,3228,,,
,,,TORQUAY,Y,3228,,,
,,,ANGLESEA,Y,3230,,,
,,,AIREYS INLET,Y,3231,,,
,,,BIG HILL,Y,3231,,,
,,,EASTERN VIEW,Y,3231,,,
,,,FAIRHAVEN,Y,3231,,,
,,,MOGGS CREEK,Y,3231,,,
,,,BIG HILL,Y,3232,,,
,,,LORNE,Y,3232,,,
,,,APOLLO BAY,Y,3233,,,
,,,CAPE OTWAY,Y,3233,,,
,,,MARENGO,Y,3233,,,
,,,PETTICOAT CREEK,Y,3233,,,
,,,SKENES CREEK,Y,3233,,,
,,,SKENES CREEK NORTH,Y,3233,,,
,,,GREY RIVER,Y,3234,,,
,,,KENNETT RIVER,Y,3234,,,
,,,SEPARATION CREEK,Y,3234,,,
,,,SUGARLOAF,Y,3234,,,
,,,WONGARRA,Y,3234,,,
,,,WYE RIVER,Y,3234,,,
,,,BENWERRIN,Y,3235,,,
,,,BOONAH,Y,3235,,,
