AD_Org_ID[Name],C_Country_ID[Name],C_Region_ID[Name],Name,IsActive,Postal,AreaCode,Locode,Coordinates
,,,GIBSON DESERT NORTH,Y,872,,,
,,,GIBSON DESERT SOUTH,Y,872,,,
,,,IRRUNYTJU,Y,872,,,
,,,KANPA,Y,872,,,
,,,KIWIRRKURRA,Y,872,,,
,,,MANTAMARU,Y,872,,,
,,,NGAANYATJARRA-GILES,Y,872,,,
,,,PAPULANKUTJA,Y,872,,,
,,,PATJARR,Y,872,,,
,,,TJIRRKARLI,Y,872,,,
,,,TJUKURLA,Y,872,,,
,,,WARAKURNA,Y,872,,,
,,,WINGELLINA,Y,872,,,
,,,CITY DELIVERY CENTRE,Y,6000,,,
,,,PERTH,Y,6000,,,
,,,PERTH GPO,Y,6000,,,
,,,PERTH,Y,6001,,,
,,,HIGHGATE,Y,6003,,,
,,,NORTHBRIDGE,Y,6003,,,
,,,EAST PERTH,Y,6004,,,
,,,KINGS PARK,Y,6005,,,
,,,WEST PERTH,Y,6005,,,
,,,NORTH PERTH,Y,6006,,,
,,,LEEDERVILLE,Y,6007,,,
,,,WEST LEEDERVILLE,Y,6007,,,
,,,DAGLISH,Y,6008,,,
,,,SHENTON PARK,Y,6008,,,
,,,SUBIACO,Y,6008,,,
,,,SUBIACO EAST,Y,6008,,,
,,,BROADWAY NEDLANDS,Y,6009,,,
,,,CRAWLEY,Y,6009,,,
,,,DALKEITH,Y,6009,,,
,,,NEDLANDS,Y,6009,,,
,,,NEDLANDS DC,Y,6009,,,
,,,CLAREMONT,Y,6010,,,
,,,CLAREMONT NORTH,Y,6010,,,
,,,KARRAKATTA,Y,6010,,,
,,,MOUNT CLAREMONT,Y,6010,,,
,,,SWANBOURNE,Y,6010,,,
,,,COTTESLOE,Y,6011,,,
,,,PEPPERMINT GROVE,Y,6011,,,
,,,MOSMAN PARK,Y,6012,,,
,,,FLOREAT,Y,6014,,,
,,,FLOREAT FORUM,Y,6014,,,
,,,JOLIMONT,Y,6014,,,
,,,WEMBLEY,Y,6014,,,
,,,CITY BEACH,Y,6015,,,
,,,GLENDALOUGH,Y,6016,,,
,,,MOUNT HAWTHORN,Y,6016,,,
,,,HERDSMAN,Y,6017,,,
,,,OSBORNE PARK,Y,6017,,,
,,,OSBORNE PARK DC,Y,6017,,,
,,,CHURCHLANDS,Y,6018,,,
,,,DOUBLEVIEW,Y,6018,,,
,,,GWELUP,Y,6018,,,
,,,GWELUP DC,Y,6018,,,
,,,INNALOO,Y,6018,,,
,,,KARRINYUP,Y,6018,,,
,,,WOODLANDS,Y,6018,,,
,,,SCARBOROUGH,Y,6019,,,
,,,WEMBLEY DOWNS,Y,6019,,,
,,,CARINE,Y,6020,,,
,,,MARMION,Y,6020,,,
,,,NORTH BEACH,Y,6020,,,
,,,SORRENTO,Y,6020,,,
,,,WATERMANS BAY,Y,6020,,,
,,,BALCATTA,Y,6021,,,
,,,STIRLING,Y,6021,,,
,,,HAMERSLEY,Y,6022,,,
,,,DUNCRAIG,Y,6023,,,
,,,GLENGARRY,Y,6023,,,
,,,GREENWOOD,Y,6024,,,
,,,WARWICK,Y,6024,,,
,,,CRAIGIE,Y,6025,,,
,,,HILLARYS,Y,6025,,,
,,,KALLAROO,Y,6025,,,
,,,PADBURY,Y,6025,,,
,,,KINGSLEY,Y,6026,,,
,,,WOODVALE,Y,6026,,,
,,,BELDON,Y,6027,,,
,,,CONNOLLY,Y,6027,,,
,,,EDGEWATER,Y,6027,,,
,,,HEATHRIDGE,Y,6027,,,
,,,JOONDALUP,Y,6027,,,
,,,JOONDALUP DC,Y,6027,,,
,,,MULLALOO,Y,6027,,,
,,,OCEAN REEF,Y,6027,,,
,,,BURNS BEACH,Y,6028,,,
,,,CURRAMBINE,Y,6028,,,
,,,ILUKA,Y,6028,,,
,,,KINROSS,Y,6028,,,
,,,TRIGG,Y,6029,,,
,,,CLARKSON,Y,6030,,,
,,,MERRIWA,Y,6030,,,
,,,MINDARIE,Y,6030,,,
,,,QUINNS ROCKS,Y,6030,,,
,,,RIDGEWOOD,Y,6030,,,
,,,TAMALA PARK,Y,6030,,,
,,,BANKSIA GROVE,Y,6031,,,
,,,CARRAMAR,Y,6031,,,
,,,NEERABUP,Y,6031,,,
,,,NOWERGUP,Y,6032,,,
,,,CARABOODA,Y,6033,,,
,,,EGLINTON,Y,6034,,,
,,,YANCHEP,Y,6035,,,
,,,BUTLER,Y,6036,,,
,,,JINDALEE,Y,6036,,,
,,,TWO ROCKS,Y,6037,,,
,,,ALKIMOS,Y,6038,,,
,,,CARABAN,Y,6041,,,
,,,GABBADAH,Y,6041,,,
,,,GUILDERTON,Y,6041,,,
,,,WILBINGA,Y,6041,,,
,,,WOODRIDGE,Y,6041,,,
,,,SEABIRD,Y,6042,,,
,,,BRETON BAY,Y,6043,,,
,,,LEDGE POINT,Y,6043,,,
,,,KARAKIN,Y,6044,,,
,,,LANCELIN,Y,6044,,,
,,,NILGEN,Y,6044,,,
,,,WEDGE ISLAND,Y,6044,,,
,,,COOLBINIA,Y,6050,,,
,,,MENORA,Y,6050,,,
,,,MOUNT LAWLEY,Y,6050,,,
,,,MAYLANDS,Y,6051,,,
,,,BEDFORD,Y,6052,,,
,,,INGLEWOOD,Y,6052,,,
,,,BAYSWATER,Y,6053,,,
,,,ASHFIELD,Y,6054,,,
,,,BASSENDEAN,Y,6054,,,
,,,BASSENDEAN DC,Y,6054,,,
,,,EDEN HILL,Y,6054,,,
,,,KIARA,Y,6054,,,
,,,LOCKRIDGE,Y,6054,,,
,,,BRABHAM,Y,6055,,,
,,,BUSHMEAD,Y,6055,,,
,,,CAVERSHAM,Y,6055,,,
,,,DAYTON,Y,6055,,,
,,,GUILDFORD,Y,6055,,,
,,,HAZELMERE,Y,6055,,,
,,,HENLEY BROOK,Y,6055,,,
,,,SOUTH GUILDFORD,Y,6055,,,
,,,WEST SWAN,Y,6055,,,
,,,BASKERVILLE,Y,6056,,,
,,,BELLEVUE,Y,6056,,,
,,,BOYA,Y,6056,,,
